Level: 1 | Time: 5.47 sec | Deaths: 0
Level: 1 | Time: 7.63 sec | Deaths: 0
Level: 1 | Time: 6.62 sec | Deaths: 0
Level: 1 | Time: 4.77 sec | Deaths: 0
Level: 1 | Time: 3.87 sec | Deaths: 0
Level: 1 | Time: 3.92 sec | Deaths: 0
Level: 1 | Time: 3.92 sec | Deaths: 0
Level: 1 | Time: 3.75 sec | Deaths: 0
Level: 1 | Time: 4.30 sec | Deaths: 0
Level: 1 | Time: 3.25 sec | Deaths: 0
Level: 2 | Time: 12.12 sec | Deaths: 2
Level: 3 | Time: 31.10 sec | Deaths: 0
Level: 1 | Time: 3.80 sec | Deaths: 0
Level: 2 | Time: 11.69 sec | Deaths: 0
Level: 3 | Time: 16.61 sec | Deaths: 0
Level: 1 | Time: 6.73 sec | Deaths: 0
Level: 2 | Time: 19.48 sec | Deaths: 1
Level: 3 | Time: 11.88 sec | Deaths: 0
Level: 1 | Time: 28.80 sec | Deaths: 0
Level: 2 | Time: 9.97 sec | Deaths: 4
Level: 3 | Time: 14.23 sec | Deaths: 0
Level: 1 | Time: 5.38 sec | Deaths: 0
Level: 2 | Time: 8.88 sec | Deaths: 0
Level: 3 | Time: 7.82 sec | Deaths: 2
Level: 1 | Time: 6.14 sec | Deaths: 0
Level: 2 | Time: 10.33 sec | Deaths: 0
Level: 3 | Time: 9.25 sec | Deaths: 0
Level: 1 | Time: 22.62 sec | Deaths: 0
Level: 1 | Time: 4.48 sec | Deaths: 0
Level: 1 | Time: 11.04 sec | Deaths: 0
Level: 2 | Time: 7.20 sec | Deaths: 0
Level: 1 | Time: 6.82 sec | Deaths: 0
Level: 1 | Time: 32.86 sec | Deaths: 0
Level: 1 | Time: 7.39 sec | Deaths: 0
Level: 2 | Time: 6.45 sec | Deaths: 0
